mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.562858772277832,0.7493716427654149,7.5036835193634035,0.6127115279079555,gini,,50,-1,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 50, 'n_jobs': -1}",0.9691052631578947,0.9708947368421053,0.9692105263157895,0.9706842105263158,0.9671578947368421,0.9694105263157894,0.0013440749220642032,18
6.928912687301636,0.5539792153931778,2.5692980766296385,0.4951115717544337,gini,,100,-1,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'n_jobs': -1}",0.9692105263157895,0.971,0.969421052631579,0.9711052631578947,0.9678947368421053,0.9697263157894737,0.0012031353315561557,13
9.171695613861084,0.3304490706106071,0.8081398487091065,0.11720580462486023,gini,,200,-1,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 200, 'n_jobs': -1}",0.9690526315789474,0.9706315789473684,0.9692105263157895,0.9708947368421053,0.9679473684210527,0.9695473684210526,0.0010871192459190476,15
1.5029645442962647,0.38067083553721903,3.6543152809143065,1.9435017271153499,gini,5,50,-1,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,6
2.923436689376831,0.2841792654887203,3.3242053508758547,0.07145704635016989,gini,5,100,-1,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,6
5.441224241256714,1.0770504190549905,2.148662567138672,0.9370685789191624,gini,5,200,-1,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,6
4.554678726196289,0.63038329221815,1.8604309558868408,0.8700197133821452,gini,10,50,-1,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 50, 'n_jobs': -1}",0.9714736842105263,0.9726842105263158,0.9719473684210527,0.9728421052631578,0.9703684210526315,0.9718631578947367,0.0008972719503632129,2
3.862763786315918,0.32251722327771076,3.408900833129883,0.9709188536148103,gini,10,100,-1,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.9720526315789474,0.9728421052631578,0.9702105263157895,0.9718736842105263,0.0009593395696896042,1
7.598118734359741,0.7134859189965814,2.2098890781402587,0.5577152591248953,gini,10,200,-1,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 200, 'n_jobs': -1}",0.9714736842105263,0.9727368421052631,0.972,0.9727894736842105,0.9701052631578947,0.971821052631579,0.000987231502121559,12
5.246514558792114,0.48775113207845294,2.765217685699463,0.5866264647580297,entropy,,50,-1,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50, 'n_jobs': -1}",0.9693157894736842,0.971,0.969842105263158,0.9701052631578947,0.9675263157894737,0.9695578947368422,0.0011529079216920405,14
5.7766697883605955,0.7943352691049985,4.199258518218994,1.070540142347773,entropy,,100,-1,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100, 'n_jobs': -1}",0.9690526315789474,0.9710526315789474,0.9692631578947368,0.9705263157894737,0.9676315789473684,0.9695052631578948,0.0012009230060590985,17
8.367935085296631,0.2764195068469606,1.8183815479278564,0.12008016460560106,entropy,,200,-1,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200, 'n_jobs': -1}",0.9693684210526315,0.9708421052631578,0.9691052631578947,0.9704736842105263,0.967842105263158,0.9695263157894736,0.0010646680259780944,16
4.797080087661743,0.31733418967957117,2.640140914916992,0.5952368278111371,entropy,5,50,-1,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,6
4.757336235046386,1.430015228874936,3.896459722518921,0.46729587099760106,entropy,5,100,-1,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,6
5.735174989700317,0.24467294435355524,1.290876865386963,0.08485758345154808,entropy,5,200,-1,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,6
4.340468645095825,0.6481603021035565,2.1071768760681153,0.41076671181401814,entropy,10,50,-1,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50, 'n_jobs': -1}",0.9715263157894737,0.9726842105263158,0.9720526315789474,0.9728421052631578,0.9701052631578947,0.9718421052631578,0.000986894735438682,4
3.8556663036346435,0.9053015984538103,3.342192220687866,0.9636301073210662,entropy,10,100,-1,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9729473684210527,0.97,0.9718421052631578,0.0010526315789473795,4
6.69311752319336,0.15089656727914197,0.2805802345275879,0.26740591978367445,entropy,10,200,-1,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.9720526315789474,0.9728947368421053,0.9700526315789474,0.9718526315789473,0.0010251140062265001,3
